source,case_id,g_level,omega_rad_s,R_m,rho_kgm3,mu_Pas,T_K,p_Pa,P_w_W,error_pct,geometry_id,data_origin,notes,geometry_type,R_chamber_m,gap_radial_m,h_rotor_m,H_pole_m,H_chamber_m,gap_axial_m,geom_confidence,Cp,Re_Omega,M_tip,Pi_confinement,Pi_gap,Pi_aspect_axial,Pi_blockage
Xia2024,Xia2024_F7_R4550,1506.9266055045869,57.0,4.55,1.2041183163746156,1.82e-05,293.15,101325.0,1379400.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4550mm, ω=57 rad/s, per-arm torque=24200 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.0063440924670005484,78072021.33793913,0.7556114140510929,0.9099999999999999,0.10989010989010989,0.10989010989010989,0.0579323992854499
Xia2024,Xia2024_F7_R4600,1523.48623853211,57.0,4.6,1.2041183163746156,1.82e-05,293.15,101325.0,1453500.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4600mm, ω=57 rad/s, per-arm torque=25500 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006329394184157104,79797317.7882281,0.7639148361835225,0.9199999999999999,0.10869565217391305,0.10869565217391305,0.05856901905781748
Xia2024,Xia2024_F7_R4650,1540.045871559633,57.0,4.65,1.2041183163746156,1.82e-05,293.15,101325.0,1482000.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig7, R=4650mm, ω=57 rad/s, per-arm torque=26000 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006113919344271018,81541469.93742733,0.7722182583159521,0.93,0.1075268817204301,0.1075268817204301,0.05920563883018507
Xia2024,Xia2024_F9_h1400,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1071600.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig9, h=1400mm, ω=57 rad/s, per-arm torque=18800 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.005208424846546966,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F9_h1600,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1094400.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig9, h=1600mm, ω=57 rad/s, per-arm torque=19200 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.005319242396473497,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F9_h1800,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1208400.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig9, h=1800mm, ω=57 rad/s, per-arm torque=21200 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.005873330146106154,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F9_h2000,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1339500.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig9, h=2000mm, ω=57 rad/s, per-arm torque=23500 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006510531058183708,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F9_h2200,1490.366972477064,57.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,1396500.0,3.0,CHIEF_original_arm,digitized_from_figure,"Fig9, h=2200mm, ω=57 rad/s, per-arm torque=24500 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006787574933000036,76365580.58656046,0.7473079919186634,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F13_original_w10,45.87155963302752,10.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,7500.0,5.0,CHIEF_original_arm,digitized_from_figure,"Fig13, Actual CHIEF armature shape, ω=10 rad/s, per-arm torque=750 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006750866619586872,13397470.278343938,0.1311066652488883,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
Xia2024,Xia2024_F13_original_w20,183.4862385321101,20.0,4.5,1.2041183163746156,1.82e-05,293.15,101325.0,60000.0,5.0,CHIEF_original_arm,digitized_from_figure,"Fig13, Actual CHIEF armature shape, ω=20 rad/s, per-arm torque=3000 N·m",enclosed_arm_in_chamber,5.0,0.5,0.5,,1.8,,medium,0.006750866619586872,26794940.556687877,0.2622133304977766,0.9,0.1111111111111111,0.1111111111111111,0.05729577951308232
